title,published_date,duration,views,likes,comments,engagement_rate,day_of_week,hour,Month,Day,Hour,TitleLength,DayOfWeek
The Blind Smartphone Camera Test Winners!,2024-01-09 02:38:32+00:00,12.2,2870970,128766,8813,0.04792073759043111,Tuesday,2,2024-01,Tuesday,2,41,1
2024 Tech I'm Ready For!,2024-01-03 22:03:42+00:00,12.716666666666667,3082034,105991,5068,0.03603432019244434,Wednesday,22,2024-01,Wednesday,22,24,2
iPhone 15 Pro: 3 Months Later!,2023-12-28 19:52:58+00:00,10.433333333333334,6237351,183528,8697,0.0308183714528812,Thursday,19,2023-12,Thursday,19,30,3
These AI Glasses are Crazy!,2023-12-21 19:20:39+00:00,0.9666666666666667,5456434,210682,3214,0.039200694079686474,Thursday,19,2023-12,Thursday,19,27,3
Smartphone Awards 2023!,2023-12-19 21:58:50+00:00,26.383333333333333,6334771,223761,12619,0.03731468746068327,Tuesday,21,2023-12,Tuesday,21,23,1
The Worst Hot Takes in Tech,2023-12-16 03:00:55+00:00,15.833333333333334,2982439,98550,6021,0.035062242681241765,Saturday,3,2023-12,Saturday,3,27,5
F1: Explained!,2023-12-11 17:54:15+00:00,19.5,5435801,190948,6508,0.03632509725797541,Monday,17,2023-12,Monday,17,14,0
Why Don't More Smartphones Have This?,2023-12-07 22:31:39+00:00,8.116666666666667,3265000,112973,4658,0.03602787136294028,Thursday,22,2023-12,Thursday,22,37,3
Cybertruck vs EUROPE,2023-12-04 20:40:21+00:00,1.0,5203251,218061,7025,0.04325872420915308,Monday,20,2023-12,Monday,20,20,0
Driving Tesla Cybertruck: Everything You Need to Know!,2023-12-01 11:00:32+00:00,40.36666666666667,21538261,441345,40641,0.022378129784944106,Friday,11,2023-12,Friday,11,54,4
This Smartwatch is $69!,2023-11-22 19:24:15+00:00,9.166666666666666,4373526,96658,4612,0.023155229899170602,Wednesday,19,2023-11,Wednesday,19,23,2
